STATION CODE,RIVER,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,D.O. (mg/l) : Min : > 4 mg/l,D.O. (mg/l) : Max : > 4 mg/l,D.O. (mg/l) : Mean : > 4 mg/l,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,WQI
1513,borewell,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",ANDHRA PRADESH,23,23,23,5.241992883,7.93727758,6.566725979,7,7,7,2050,2050,2050,2.929793103,8.953931034,5.225103448,2.5,2.5,2.5,1626.697735,5921829.107,537786.4991,400,400,400,5457.242018
1514,borewell,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST., A.P.",ANDHRA PRADESH,23,23,23,5.241992883,7.93727758,6.566725979,7.3,7.3,7.3,1639,1639,1639,2.929793103,8.953931034,5.225103448,1.2,1.2,1.2,1626.697735,5921829.107,537786.4991,400,400,400,5452.04594
1515,borewell,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",ANDHRA PRADESH,19,19,19,5.241992883,7.93727758,6.566725979,7.4,7.4,7.4,1569,1569,1569,0.6,0.6,0.6,2.8,2.8,2.8,1626.697735,5921829.107,537786.4991,400,400,400,5439.514872
1516,borewell,B W OF NAVLOK GARDENS NELLORE AP,ANDHRA PRADESH,29,29,29,5.241992883,7.93727758,6.566725979,7.4,7.4,7.4,1119,1119,1119,2.929793103,8.953931034,5.225103448,0.5,0.5,0.5,1626.697735,5921829.107,537786.4991,400,400,400,5449.202803
1517,borewell,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",ANDHRA PRADESH,27,30.6,28.5,5.241992883,7.93727758,6.566725979,7.2,8.1,7.9,1520,1950,1687,0.8,1,0.9,3.1,8,4.6,0,0,0,20,40,32,69.84752756
1518,borewell,"B/W. - NANDYAL, KURNOOL DIST., A.P.",ANDHRA PRADESH,27,35,29.6,5.241992883,7.93727758,6.566725979,7.8,8.2,7.9,2150,5000,3720,1,1.6,1.4,4,14,8.4,0,0,0,20,50,36,87.77419423
1519,borewell,"B/W. - NAGIRI, CHITTOOR DIST., A.P",ANDHRA PRADESH,27,37,29.2,5.241992883,7.93727758,6.566725979,7.8,8.1,7.9,730,1510,1131,1.1,1.8,1.4,0,3.1,1.7,0,0,0,30,30,30,59.84252756
1520,borewell,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",ANDHRA PRADESH,27,39.5,31.1,5.241992883,7.93727758,6.566725979,7.6,8.3,7.9,723,1100,966,1.1,1.5,1.3,2.1,11.5,4.6,0,0,0,20,40,34,71.51919423
1521,,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",ANDHRA PRADESH,25,25,25,5.241992883,7.93727758,6.566725979,7.7,7.7,7.7,1790,1790,1790,1,1,1,5.4,5.4,5.4,9,9,9,120,120,120,73.76046874
1522,,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",ANDHRA PRADESH,25,29,26,5.241992883,7.93727758,6.566725979,7.2,7.7,7.4,771,1343,962,1,1.2,1.1,1.1,1.8,1.4,4,23,16,4,150,84,57.26988051
